Temario; Desarrollo; Aporte; Charlas Buenas; Charlas Malas; Sugerencias;

Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Filiacion;;Reunir a los bioq de la provincia para intercambiar experiencias y problematicas;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;La charla de renal me pareció súper interesante porque son aspectos en los que por lo general hay errores y a partir de la charla se puede comenzar a penSar en cómo mejorar en ese aspecto. ;La charla de insumos, si bien brindaron conocimiento a cerca del funcionamiento de la compra no creo que sea un tema para unas jornadas bioquímicas sino más bien charlas que se deberían dar a casa laboratorio en particular.;Actualización bioquimica.;SI;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Sólo puede asistir por las tardes y fueron muy interesantes  todas ellas;;Fue mi primer jornada. Supongo que es un ámbito que permite la convivencia entre colegas y aprovechar el intercambio de realidades ;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;HEMOSTASIA , PTH Y MARCADORES DE ENFERMEDAD RENAL Y TRANSMISION SEXUAL;NINGUNA, TODAS FUERON INTERESANTES;ACTUALIZARNOS, PONERNOS DE ACUERDO, CONOCERNOS ;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;ERC Y HEMOSTASIA DEL EMBARAZO, SON LAS MAS PODEMOS PONER EN PRACTICA EN EL LABORATORIO;;CONOCERNOS  ENTRE PROFESIONALES Y CONOCER EL TRABAJO DE OTROS LABORATORIOS, MAS QUE NADA LOS DE REFERENCIA;SI;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;No asistí a todas. Me me parecieron muy interesantes la de Herman y Vani sobre ITS. Y tb me pareció muy interesante la ERC que dió la colega de Bahía Blanca.;;Actualizarnos, mostrar lo que cada uno hace y compartirlo, y por supuesto encontrarnos personalmente porque eso acorta distancia, mejora relaciones y ayuda a un mejor trabajo colectivo.;SI;Sé que es complicado de implementar pero se me ocurre que los bioquímicos podríamos pagar una especie de cuota mensual ($300) que vaya a un fondo común para jornadas. Pagando 100 bioquímicos, todos los meses, a fin de año tendríamos $360.000. Y de esta manera nos podemos autofinanciar y no pedirle nada a nadie.
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Hemostasia en el embarazo y durante el periodo neonatal:muy interesante y fácil de entender. Actualización en hidatidosis: interesante y aporto datos que desconocía. Formas de presentación de las ETS: muy didáctica y es un tema que esta muy presente en este momento. Marcadores precoces de enfermedad renal: entretenida, actual y de mucha aplicación. Morfología eritroc. y su imp. en el diag. de anemias: muy interesante y aplicable. En general me gustaron todas las charlas porque todas aportaron algo, indistintamente de la aplicación que se le pueda llegar a dar en nuestro laboratorio.;Ninguna.;Actualización de conocimientos y fortalecimiento de la comunicación y relación entre los distintos laboratorios de la provincia.;SI;De la misma forma que este año , que se respeten los horarios .
Poco interesante;Se respetaron los tiempos y fueron amenas;No hubo aportes relevantes para mi tarea diaria;;;;NO;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Formas de presentación de las enfermedades de transmisión sexual. Marcadores precoces de enfermedad renal: Aspectos preanalíticos.Muy claras y de gran utilidad .;Abastecimiento de laboratorios. Gestión de insumos. A mi criterio no aporta nada que no sepamos;Ser un nexo entre los bioquímicos de toda la provincia para fortalecer vínculos y el aporte de contenidos también creo que es necesario.;SI;Consultar temas a tratar .
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Todas fueron muy interesantes ;;Considero que el obj es la actualización en temas de nuestra labor, y el intercambio de dudas entre colegas.;SI;Me gustaría que aprovechando el espacio se dé más lugar al planteo de falta de insumos que aqueja más que nada al interior de la provincia, y que los que estamos en Neuquén conozcamos esa realidad.
Interesante;Se respetaron los tiempos y fueron amenas;No hubo aportes relevantes para mi tarea diaria;No asistí a muchas, solo a las que eran de mi interés. Mejora continua y abastecimiento;No es que no me gusten, no son acordes a mi tarea, por el lugar de trabajo en donde me desempeño.;Armonizar criterios. Creo que debería ser un espacio de consenso y "bajada de linea" para que todos los laboratorios utilicen los mismos criterios de analisis, informacion de resultados, derivacion, etc (Mi opinion, se que me meto en temas que no me corresponden);SI;
